,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
118,119,8,"""The 43 Peculiarity""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,2012-11-15,3X7608,17.6,6
119,120,9,"""The Parking Spot Escalation""",Peter Chakos,Story by : Chuck Lorre & Eric Kaplan & Adam FabermanTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2012-11-29,3X7609,17.2,6
120,121,10,"""The Fish Guts Displacement""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,2012-12-06,3X7610,16.9,6
121,122,11,"""The Santa Simulation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,2012-12-13,3X7611,16.7,6
122,123,12,"""The Egg Salad Equivalency""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Bill Prady & Steve Holland,2013-01-03,3X7612,19.2,6
123,124,13,"""The Bakersfield Expedition""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,2013-01-10,3X7613,20.0,6
124,125,14,"""The Cooper/Kripke Inversion""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Anthony Del BroccoloTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,2013-01-31,3X7614,17.7,6
125,126,15,"""The Spoiler Alert Segmentation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Maria Ferrari & Adam Faberman,2013-02-07,3X7615,18.9,6
126,127,16,"""The Tangible Affection Proof""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Tara Hernandez,2013-02-14,3X7616,17.8,6
127,128,17,"""The Monster Isolation""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2013-02-21,3X7617,17.6,6
